sourced crates: 101
item	count	defined-in
test	685	app.rs,gpui.rs
TestAppContext	294	app/test_context.rs
App	206	app.rs
SharedString	147	?
Task	141	?
Entity	134	app/entity_map.rs
AsyncApp	103	app/async_context.rs
AppContext	98	gpui.rs
Context	74	app/context.rs
BackgroundExecutor	64	executor.rs
Global	46	global.rs
actions	45	?
WeakEntity	41	app/entity_map.rs
EventEmitter	37	gpui.rs
Subscription	34	subscription.rs
Hsla	21	color.rs
ImageFormat	20	platform.rs
TaskExt	20	executor.rs
Action	17	action.rs
http_client	15	app.rs
Rgba	15	color.rs
Pixels	12	geometry.rs
BorrowAppContext	12	gpui.rs
Image	11	platform.rs
px	11	?
ReadGlobal	11	global.rs
HighlightStyle	11	style.rs
MouseButton	11	interactive.rs
Size	10	geometry.rs
UpdateGlobal	9	global.rs
transparent_black	8	?
ListOffset	7	elements/list.rs
Window	7	window.rs
block_on	6	executor.rs
FontWeight	6	text_system.rs
EntityId	5	app/entity_map.rs
rgba	5	color.rs
PromptLevel	5	platform.rs
prelude	4	gpui.rs
Modifiers	4	platform/keystroke.rs
Point	4	geometry.rs
FutureExt	4	util.rs
FontStyle	4	text_system.rs
WindowBackgroundAppearance	4	platform.rs
Keystroke	4	platform/keystroke.rs
hsla	4	?
Font	4	text_system.rs
Result	3	?
Priority	3	?
AssetSource	3	assets.rs
FontFeatures	3	text_system/font_features.rs
PlatformKeyboardMapper	3	platform/keyboard.rs
TestDispatcher	2	platform/test/dispatcher.rs
guess_compositor	2	platform.rs
StyledText	2	elements/text.rs
Bounds	2	geometry.rs
AnyView	2	view.rs
property_test	2	?
AnyWeakEntity	2	app/entity_map.rs
proptest	2	?
NoAction	2	?
WindowButtonLayout	2	platform.rs
HeadlessPlatform	2	platform/headless.rs
ScrollWheelEvent	2	interactive.rs
FontFallbacks	2	text_system/font_fallbacks.rs
ScrollDelta	2	interactive.rs
SHUTDOWN_TIMEOUT	1	app.rs
SharedUri	1	shared_uri.rs
ForegroundExecutor	1	executor.rs
TextStyle	1	style.rs
DevicePixels	1	geometry.rs
ObjectFit	1	style.rs
point	1	?
size	1	assets.rs,text_system/line_layout.rs
Asset	1	asset_cache.rs
AssetLogger	1	asset_cache.rs
ImageCacheError	1	elements/img.rs
ImageSource	1	elements/img.rs
Img	1	elements/img.rs
RenderImage	1	assets.rs
AnyEntity	1	app/entity_map.rs
WindowId	1	window.rs
RenderOnce	1	element.rs
ActionBuildError	1	action.rs
InvalidKeystrokeError	1	platform/keystroke.rs
KEYSTROKE_PARSE_EXPECTED_MESSAGE	1	platform/keystroke.rs
KeyBinding	1	keymap/binding.rs
KeyBindingContextPredicate	1	keymap/context.rs
KeyBindingMetaIndex	1	keymap/binding.rs
KeybindingKeystroke	1	platform/keystroke.rs
Unbind	1	action.rs
generate_list_of_all_registered_actions	1	action.rs
register_action	1	?
rgb	1	color.rs
Application	1	app.rs
ClipboardItem	1	platform.rs
MouseDownEvent	1	interactive.rs
MouseMoveEvent	1	interactive.rs
MouseUpEvent	1	interactive.rs
TouchPhase	1	interactive.rs
black	1	?
red	1	?
green	1	?
Styled	1	styled.rs
Tiling	1	platform.rs
WindowAppearance	1	platform.rs
Refineable	1	?
Rems	1	geometry.rs
